Genome	Color	Family
MZ375349	#D3D3D3	Unclassified
MZ375348	#D3D3D3	Unclassified
MZ375346	#D3D3D3	Unclassified
MZ375345	#D3D3D3	Unclassified
MZ375344	#D3D3D3	Unclassified
MZ375343	#D3D3D3	Unclassified
MZ375342	#D3D3D3	Unclassified
MZ375341	#D3D3D3	Unclassified
MZ375340	#D3D3D3	Unclassified
MZ375339	#D3D3D3	Unclassified
MZ375338	#D3D3D3	Unclassified
MZ375337	#D3D3D3	Unclassified
MZ375336	#D3D3D3	Unclassified
MZ375335	#D3D3D3	Unclassified
MZ375334	#D3D3D3	Unclassified
MZ375333	#D3D3D3	Unclassified
MZ375332	#D3D3D3	Unclassified
MZ375331	#D3D3D3	Unclassified
MZ375330	#D3D3D3	Unclassified
MZ375329	#D3D3D3	Unclassified
MZ375328	#D3D3D3	Unclassified
MZ375327	#D3D3D3	Unclassified
MZ375326	#D3D3D3	Unclassified
MZ375325	#D3D3D3	Unclassified
MZ375324	#D3D3D3	Unclassified
MZ375323	#D3D3D3	Unclassified
MZ375322	#D3D3D3	Unclassified
MZ375321	#D3D3D3	Unclassified
MZ375320	#D3D3D3	Unclassified
MZ375319	#D3D3D3	Unclassified
MZ375318	#D3D3D3	Unclassified
MZ375317	#D3D3D3	Unclassified
MZ375316	#D3D3D3	Unclassified
MZ375315	#D3D3D3	Unclassified
MZ375314	#D3D3D3	Unclassified
MZ375313	#D3D3D3	Unclassified
MZ375312	#D3D3D3	Unclassified
MZ375311	#D3D3D3	Unclassified
MZ375310	#D3D3D3	Unclassified
MZ375309	#D3D3D3	Unclassified
MZ375308	#D3D3D3	Unclassified
MZ375307	#D3D3D3	Unclassified
MZ375306	#D3D3D3	Unclassified
MZ375305	#D3D3D3	Unclassified
MZ375304	#D3D3D3	Unclassified
MZ375303	#D3D3D3	Unclassified
MZ375302	#D3D3D3	Unclassified
MZ375301	#D3D3D3	Unclassified
MZ375300	#D3D3D3	Unclassified
MZ375299	#D3D3D3	Unclassified
MZ375298	#D3D3D3	Unclassified
MZ375297	#D3D3D3	Unclassified
MZ375296	#D3D3D3	Unclassified
MZ375295	#D3D3D3	Unclassified
MZ375294	#8B4FE0	Autographiviridae
MZ375293	#8B4FE0	Autographiviridae
MZ375292	#8B4FE0	Autographiviridae
MZ375291	#8B4FE0	Autographiviridae
MZ375290	#8B4FE0	Autographiviridae
MZ375289	#8B4FE0	Autographiviridae
MZ375288	#8B4FE0	Autographiviridae
MZ375287	#8B4FE0	Autographiviridae
MZ375286	#8B4FE0	Autographiviridae
MZ375285	#8B4FE0	Autographiviridae
MZ375284	#8B4FE0	Autographiviridae
MZ375283	#8B4FE0	Autographiviridae
